,const,MKT_SPY,RATE_TNX,COM_DBC,USD_UUP,VIX_CHG
AAPL,0.0007857686349667585,1.6036717064590948,1.0948985660467476,0.05126741200268925,-0.4177493514221601,0.030771698421711013
MSFT,0.0003009721695428692,1.4487908942152303,0.718745247033118,-0.03502231161678537,-0.24968263342024,-0.08066298835782448
JPM,9.769833968580021e-05,1.3539736627403753,1.3839829964491888,0.08535148691578653,-0.03519650018294171,0.0062494161166071205
XOM,0.0004753940921723357,1.111428588196452,-0.625562169248705,0.7325080267808306,-0.09816285956924936,-0.018514422355218718
PG,0.00013893607247524557,0.6992923461321063,0.03360119260959342,0.041573017546953694,0.050713182539758414,-0.0429329024894185
JNJ,0.0001388510385944661,0.7124854127756993,-0.5449340308692016,0.03260040655378643,-0.04879824670579437,-4.861774242781447e-05
TLT,0.00013300563549284542,-0.5575428319516846,-6.550339998313302,-0.020135098480744407,0.19912593086685149,0.006449964385520368
LQD,0.00012664941008498078,0.3312929326736869,-1.9385748444375581,0.02669612329953308,-0.02603736130871271,-0.004108029155514781
GLD,6.329296231934738e-05,-0.0972740751961281,-1.8667607952659997,0.2630639905452057,-0.11098276696171444,0.03937179728295483
DBC,0.00047180611556493725,0.2904710214121938,0.9719365966817739,1.0259056051800903,-0.20688213358443092,-0.0034774745571166665
UUP,5.041825240412364e-05,-0.2655865945444454,-0.050354383622309394,-0.17715354911097814,1.1111081956566748,0.006539288899907875
